id,Predicted
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,1
